ONA_1:input 1/mode 1/transmission: Re(TE transmission) vs wavelength

wavelength(nm), Re(TE transmission)
1559.95, 0.153929
1559.95, 0.153931
1559.95, 0.153932
1559.95, 0.153934
1559.95, 0.153936
1559.95, 0.153937
1559.95, 0.153939
1559.94, 0.153941
1559.94, 0.153942
1559.94, 0.153944
1559.94, 0.153946
1559.94, 0.153947
1559.94, 0.153949
1559.94, 0.153951
1559.94, 0.153952
1559.94, 0.153954
1559.94, 0.153956
1559.94, 0.153957
1559.94, 0.153959
1559.94, 0.15396
1559.94, 0.153962
1559.94, 0.153964
1559.94, 0.153965
1559.94, 0.153967
1559.94, 0.153969
1559.94, 0.15397
1559.94, 0.153972
1559.94, 0.153973
1559.94, 0.153975
1559.94, 0.153977
1559.94, 0.153978
1559.93, 0.15398
1559.93, 0.153982
1559.93, 0.153983
1559.93, 0.153985
1559.93, 0.153986
1559.93, 0.153988
1559.93, 0.153989
1559.93, 0.153991
1559.93, 0.153993
1559.93, 0.153994
1559.93, 0.153996
1559.93, 0.153997
1559.93, 0.153999
1559.93, 0.154001
1559.93, 0.154002
1559.93, 0.154004
1559.93, 0.154005
1559.93, 0.154007
1559.93, 0.154008
1559.93, 0.15401
1559.93, 0.154012
1559.93, 0.154013
1559.93, 0.154015
1559.93, 0.154016
1559.93, 0.154018
1559.92, 0.154019
1559.92, 0.154021
1559.92, 0.154022
1559.92, 0.154024
1559.92, 0.154026
1559.92, 0.154027
1559.92, 0.154029
1559.92, 0.15403
1559.92, 0.154032
1559.92, 0.154033
1559.92, 0.154035
1559.92, 0.154036
1559.92, 0.154038
1559.92, 0.154039
1559.92, 0.154041
1559.92, 0.154042
1559.92, 0.154044
1559.92, 0.154045
1559.92, 0.154047
1559.92, 0.154048
1559.92, 0.15405
1559.92, 0.154051
1559.92, 0.154053
1559.92, 0.154054
1559.92, 0.154056
1559.91, 0.154057
1559.91, 0.154059
1559.91, 0.15406
1559.91, 0.154062
1559.91, 0.154063
1559.91, 0.154065
1559.91, 0.154066
1559.91, 0.154068
1559.91, 0.154069
1559.91, 0.154071
1559.91, 0.154072
1559.91, 0.154074
1559.91, 0.154075
1559.91, 0.154077
1559.91, 0.154078
1559.91, 0.15408
1559.91, 0.154081
1559.91, 0.154083
1559.91, 0.154084
1559.91, 0.154085
1559.91, 0.154087
1559.91, 0.154088
1559.91, 0.15409
1559.91, 0.154091
1559.9, 0.154093
1559.9, 0.154094
1559.9, 0.154096
1559.9, 0.154097
1559.9, 0.154098
1559.9, 0.1541
1559.9, 0.154101
1559.9, 0.154103
1559.9, 0.154104
1559.9, 0.154106
1559.9, 0.154107
1559.9, 0.154108
1559.9, 0.15411
1559.9, 0.154111
1559.9, 0.154113
1559.9, 0.154114
1559.9, 0.154116
1559.9, 0.154117
1559.9, 0.154118
1559.9, 0.15412
1559.9, 0.154121
1559.9, 0.154123
1559.9, 0.154124
1559.9, 0.154125
1559.9, 0.154127
1559.89, 0.154128
